,comment_id,anonymous,graduating_year,job_title,tagline,created_at,program,overall_score,overall,curriculum,job_support,school
2731,290654,False,2022,Application Developer,Great learning experience at Springboard!,7/13/2022,Software Engineering Career Track,4.7,5.0,4.0,5.0,springboard
2732,290614,False,2022,,Data Analytics Career Track in Springboard,7/12/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2733,290550,False,2022,,Springboard helped me start a new career path,7/10/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2734,290529,False,2022,,Mentors / Timeline,7/9/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2735,290525,False,2021,Data Science/ML Engineer student,Data Science/ML Engineer student,7/8/2022,Data Science Career Track,2.0,2.0,2.0,2.0,springboard
2736,290496,False,2022,Data Science,It was difficult but so worth it,7/7/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2737,290323,False,2022,,"Even if I was a non-IT person, I didn't feel any hardship to understand the topics covered in Springboard; Springboard made it look easy!",7/3/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2738,290280,False,2022,,Great course,7/1/2022,UI/UX Design Career Track,4.7,4.0,5.0,5.0,springboard
2739,290254,False,2022,UX designer,Springboard was an amazing boot camp.,6/30/2022,,5.0,5.0,5.0,5.0,springboard
2740,290154,False,2022,UX/UI Designer,Great experience and amazing staff,6/27/2022,UI/UX Design Career Track,4.3,4.0,4.0,5.0,springboard
2741,290130,False,2022,,Great experience,6/27/2022,UI/UX Design Career Track,4.7,5.0,4.0,5.0,springboard
2742,290094,False,2022,,A journey…,6/25/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2743,290082,False,2022,Technical Support Analyst,Springboard Data Analytics Career Track,6/24/2022,Data Analytics Career Track,4.0,4.0,4.0,4.0,springboard
2744,290068,False,2022,Phycisian (MD),Springboard is worth it. Period.,6/24/2022,Data Science Career Track,4.7,4.0,5.0,5.0,springboard
2745,290042,True,2022,,Sprinboard Cybersecurity journey to SOC Analyst,6/23/2022,Cyber Security Career Track,4.7,5.0,4.0,5.0,springboard
2746,289951,False,2022,,Springboard Data Science Career Track,6/21/2022,Data Science Career Track,4.3,4.0,4.0,5.0,springboard
2747,289942,True,2022,,Springboard greatly helped me learn what was needed to be a data analyst.,6/20/2022,,4.3,4.0,4.0,5.0,springboard
2748,289940,False,2022,,Great experience at Springboard,6/20/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2749,289934,False,2022,Software Engineer,Springboard was a fantastic experience!,6/20/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2750,289820,True,2022,,"Great online school, great course adviser, support team and mentor",6/16/2022,Data Analytics Career Track,5.0,5.0,5.0,,springboard
2751,289765,False,2022,,Springboard Data Analytics Program - a great choice!,6/14/2022,Data Analytics Career Track,4.7,5.0,5.0,4.0,springboard
2752,289723,False,2022,Data Analyst,Great Data Analyst Career Track for Beginners!,6/13/2022,Data Analytics Career Track,4.7,5.0,4.0,5.0,springboard
2753,289716,False,2022,Software Engineer,Springboard Delivered,6/13/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2754,289714,False,2022,,"Great curriculum , mentor, TA and career coach",6/13/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2755,289541,False,2022,,Great Introductory Knowledge for the UX Industry,6/7/2022,UX Career Track,4.0,4.0,4.0,4.0,springboard
2756,289489,False,2022,Senior Risk Data Analyst,Springboard Data Science Career Track helped me to transition my career into something I love,6/6/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2757,289411,False,2022,,Springboard has been a fantastic experience.,6/3/2022,UI/UX Design Career Track,4.0,4.0,4.0,4.0,springboard
2758,289351,False,2022,,SpringBoard Software Engineering Career Track Prep,6/1/2022,Software Engineering Career Track Prep Course,4.0,4.0,5.0,3.0,springboard
2759,289334,False,2022,,Springboard is great!,6/1/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2760,289298,False,2022,Data Analytics Bootcamp,Great experience - did exactly what they said they'll do,5/31/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2761,289236,False,2022,UX/UI Designer,Springboard UX/UI Design Course,5/28/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2762,289166,False,2022,Cybersecurity,Overall a very good program with great flexibility,5/26/2022,Cyber Security Career Track,4.7,5.0,4.0,5.0,springboard
2763,289109,False,2022,Junior Product Designer,Springboard helped me change careers as seamlessly as possible.,5/25/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2764,288977,False,2022,,The Data science Career track was a good course!,5/20/2022,,4.0,4.0,4.0,4.0,springboard
2765,288924,False,2022,,Absolutely worth it!,5/19/2022,UI/UX Design Career Track,5.0,5.0,5.0,5.0,springboard
2766,288862,False,2022,,THE BEST MENTOR EXPERIENCE EVER!,5/18/2022,Data Analytics Career Track,5.0,5.0,5.0,5.0,springboard
2767,288791,False,2022,data scientist,Springboard Data Science Career track - A memorable experience,5/16/2022,Data Science Career Track,5.0,5.0,5.0,5.0,springboard
2768,288735,True,2022,student,My experience in data science bootcamp,5/14/2022,Data Science Career Track,4.0,4.0,4.0,4.0,springboard
2769,288652,False,2022,Cybersecurity fellow,Springboard career track program,5/11/2022,,5.0,5.0,5.0,5.0,springboard
2770,288647,False,2022,,Comprehensive training for SWE,5/11/2022,Software Engineering Career Track,5.0,5.0,5.0,5.0,springboard
2771,288595,False,2022,Nonprofit Assistant,Valuable hands-on skills to build a portfolio and kickstart a career path.,5/10/2022,Data Analytics Career Track,4.0,4.0,4.0,4.0,springboard
2772,288374,False,2022,,Great experience at Springboard,5/2/2022,Cyber Security Career Track,5.0,5.0,5.0,5.0,springboard
